name,mass,mass err,radius,radius err,omega,omega err,CHZ
Kepler-186 f,1.71,0.066774469,1.17,0.08,0.007676832,7.38E-08,1
LHS 1140 b,6.65,1.82,1.43,0.1,5.253000349,5.31E-05,1
GJ 667 C c,3.8,1.35,1.5,0.45,0.879073205,0.001843117,1
GJ 667 C f,2.7,1.3,1.45,0.056621626,2.5,1.5,1
GJ 667 C e,2.7,1.5,1.45,0.056621626,0.627024422,0.005540865,1
Proxima Cen b,1.27,0.18,1.08,0.042173349,5.56409798,0.000746124,1
Kepler-442 b,2.36,0.092156577,1.34,0.145,0.099603492,2.31E-06,1
Kepler-1229 b,2.54,0.099185469,1.4,0.12,1.293407896,1.59E-05,1
Kepler-1652 b,3.19,0.124567577,1.6,0.18,2.279142389,1.26E-05,1
TRAPPIST-1 g,1.34,0.88,1.127,0.041,2.5,1.5,1
TRAPPIST-1 e,0.62,0.58,0.918,0.039,2.5,1.5,1
TRAPPIST-1 f,0.68,0.18,1.045,0.038,0.662519863,1.08E-06,1
Kepler-62 f,2.8,4.5,1.41,0.07,0.034444444,6.44E-07,1
Kepler-452 b,3.29,0.128472517,1.63,0.215,2.5,1.5,1
K2-3 d,7.5,3,1.51,0.23,8.636545516,0.001143533,1
K2-9 b,5.69,0.22219107,2.25,0.3725,2.415193119,0.000196359,1
tau Cet e,3.93,0.735,1.6,0.45,0.113279303,0.00053555,1
Kepler-296 e,2.96,0.115586216,1.53,0.26,4.770355435,3.49E-05,1
GJ 3323 b,2.02,0.255,1.23,0.048030759,6.365521292,0.00083076,1
TRAPPIST-1 d,0.41,0.27,0.772,0.03,1.324473221,2.06E-05,1
Ross 128 b,1.4,0.21,1.11,0.043344831,0.410469501,0.000291237,1
GJ 273 b,2.89,0.265,1.4,0.4,2.5,1.5,1
Wolf 1061 c,3.41,0.42,1.5,0.4,1.04352643,0.000344496,1
Kepler-438 b,1.46,0.05701212,1.12,0.165,0.507246151,3.89E-06,1
Kepler-62 e,4.5,8.4,1.6,0.05,0.287882494,1.88E-06,1
K2-72 e,2.21,0.086299168,1.29,0.135,5.065941004,0.000794316,1
Kepler-296 f,3.89,0.151902155,1.8,0.305,0.381438124,3.67E-06,1
Kepler-445 d,2.1,0.082003734,1.25,0.19,7.768700132,0.000381157,0
TRAPPIST-1 h,0.35,0.013667289,0.752,0.0315,2.5,1.5,0
GJ 3323 c,2.31,0.495,1.32,0.051545204,2.5,1.5,0
LHS 1140 c,1.81,0.39,1.282,0.024,2.5,1.5,0
K2-65 b,3.12,0.121834119,1.58,0.38,0.298709705,3.07E-05,0
K2-80 c,2.76,0.107776336,1.47,0.23,2.25646744,0.000442839,0
K2-147 b,2.48,0.096842505,1.38,0.16,5.826906064,0.000157498,0
Kepler-1340 b,3.02,0.117929179,1.55,0.485,1.446433176,3.48E-06,0
Kepler-1075 b,2.6,0.101528433,1.42,0.245,2.5,1.5,0
Kepler-757 b,2.42,0.094499541,1.36,0.34,2.5,1.5,0
Kepler-256 b,3.15,0.123005601,1.59,0.39,0.631091168,3.51E-06,0
K2-50 b,3.15,0.123005601,1.59,0.24,0.18513784,2.75E-05,0
K2-68 b,3.12,0.121834119,1.58,0.23,1.086738976,0.00011064,0
Kepler-228 b,2.96,0.115586216,1.53,0.71,3.138178704,3.18E-05,0
Kepler-280 b,2.7,0.105433372,1.45,0.7,1.199577293,3.36E-06,0
Kepler-194 b,2.89,0.112852758,1.51,0.79,2.5,1.5,0
Kepler-1039 b,2.73,0.106604854,1.46,0.155,2.238010772,2.08E-06,0
Kepler-1323 b,2.92,0.11402424,1.52,0.285,1.005352752,8.11E-07,0
K2-128 b,2.6,0.101528433,1.42,0.145,0.163836563,1.19E-05,0
Kepler-337 b,2.99,0.116757698,1.54,0.43,1.723715911,9.95E-06,0
Kepler-366 b,2.73,0.106604854,1.46,0.66,1.003297421,6.73E-06,0
Kepler-207 b,3.09,0.120662637,1.57,0.3,2.036125234,7.58E-06,0
Kepler-389 b,2.89,0.112852758,1.51,0.77,0.496859382,4.59E-06,0
Kepler-990 c,2.96,0.115586216,1.53,0.27,6.025970146,7.50E-06,0
Kepler-446 b,2.86,0.111681276,1.5,0.25,0.343906487,7.25E-07,0
Kepler-994 b,3.19,0.124567577,1.6,0.17,1.359845849,6.73E-07,0
Kepler-370 b,3.15,0.123005601,1.59,0.78,0.251372195,2.25E-06,0
Kepler-997 b,2.42,0.094499541,1.36,0.295,1.691544577,3.45E-06,0
Kepler-160 b,2.99,0.116757698,1.54,0.76,0.628228932,2.48E-06,0
Kepler-168 b,2.73,0.106604854,1.46,0.66,0.973795762,7.26E-06,0
Kepler-255 b,3.02,0.117929179,1.55,0.62,0.77440002,7.05E-06,0
Kepler-240 b,2.45,0.095671023,1.37,0.56,1.378842537,8.65E-06,0
Kepler-1571 b,2.92,0.11402424,1.52,0.51,1.224170083,5.77E-06,0
Kepler-273 b,2.86,0.111681276,1.5,0.86,1.152909241,3.53E-06,0
Kepler-286 c,2.45,0.095671023,1.37,0.27,0.84672767,5.62E-06,0
Kepler-207 c,2.86,0.111681276,1.5,0.29,1.129094851,5.88E-06,0
Kepler-1091 b,2.73,0.106604854,1.46,0.275,2.140853158,4.88E-06,0
K2-211 b,2.46,0.096061517,1.375,0.1375,2.142818934,0.000102411,0
Kepler-339 b,2.6,0.101528433,1.42,0.66,0.13451271,5.13E-07,0
Kepler-84 d,2.48,0.096842505,1.38,0.27,1.178272554,1.17E-05,0
Kepler-1592 b,2.99,0.116757698,1.54,0.49,1.381876957,1.06E-05,0
Kepler-1275 b,2.79,0.108947818,1.48,0.46,0.835978935,3.62E-06,0
Kepler-1604 b,2.57,0.100356951,1.41,0.15,5.348830394,4.93E-06,0
Kepler-1072 b,3.12,0.121834119,1.58,0.48,0.435726759,8.05E-07,0
Kepler-176 b,2.63,0.102699915,1.43,0.73,0.28879903,1.28E-06,0
Kepler-237 b,2.57,0.100356951,1.41,0.75,1.152269747,7.33E-06,0
Kepler-187 b,2.57,0.100356951,1.41,0.28,0.95469444,1.12E-05,0
Kepler-394 b,3.19,0.124567577,1.6,0.82,0.61697139,6.94E-06,0
Kepler-164 b,2.57,0.100356951,1.41,0.28,1.589864013,8.53E-06,0
Kepler-373 b,2.42,0.094499541,1.36,0.67,0.909620402,4.77E-06,0
Kepler-1310 b,2.67,0.10426189,1.44,0.14,8.148113452,8.64E-06,0
Kepler-372 b,2.42,0.094499541,1.36,0.59,0.099177637,1.94E-06,0
Kepler-1394 b,2.51,0.098013987,1.39,0.21,1.739531984,1.62E-05,0
Kepler-402 c,3.05,0.119100661,1.56,0.35,2.5,1.5,0
Kepler-1019 b,2.73,0.106604854,1.46,0.105,4.340059134,2.31E-06,0
Kepler-974 b,3.09,0.120662637,1.57,0.175,0.336447973,4.03E-07,0
K2-138 b,3.09,0.120662637,1.57,0.225,1.782449796,0.000272683,0
K2-187 b,2.49,0.097232999,1.383,0.125,3.040410553,0.000200342,0
TRAPPIST-1 b,0.85,0.72,1.086,0.035,0.512274772,2.03E-07,0
Kepler-356 b,3.09,0.120662637,1.57,0.29,0.327546149,1.49E-06,0
Kepler-382 c,3.15,0.123005601,1.59,0.77,0.379249313,3.40E-06,0
Kepler-375 b,2.7,0.105433372,1.45,0.51,1.003032096,1.69E-05,0
Kepler-355 b,2.73,0.106604854,1.46,0.66,1.09917104,3.37E-05,0
Kepler-922 b,2.6,0.101528433,1.42,0.145,11.75522634,1.19E-05,0
Kepler-208 c,2.51,0.098013987,1.39,0.26,0.125688257,1.13E-06,0
Kepler-246 c,2.86,0.111681276,1.5,0.76,0.667427867,4.47E-06,0
Kepler-180 b,2.86,0.111681276,1.5,0.67,0.809659159,9.08E-06,0
Kepler-329 b,2.54,0.099185469,1.4,0.25,1.863050751,1.16E-05,0
Kepler-1259 b,2.63,0.102699915,1.43,0.085,11.18468084,1.47E-05,0
Kepler-348 b,2.92,0.11402424,1.52,0.29,0.093964414,4.13E-07,0
Kepler-402 d,2.48,0.096842505,1.38,0.27,2.5,1.5,0
Kepler-361 b,2.7,0.105433372,1.45,0.28,1.05119626,1.04E-05,0
Kepler-793 b,2.45,0.095671023,1.37,0.22,2.000835362,1.07E-05,0
HD 215152 e,2.877,1.272,1.51,0.05896459,0.16833698,0.000327699,0
Kepler-274 b,2.99,0.116757698,1.54,0.84,2.165634647,2.49E-05,0
Kepler-262 b,2.42,0.094499541,1.36,0.59,0.890813657,1.12E-05,0
Kepler-1181 b,3.09,0.120662637,1.57,0.455,2.669089226,1.38E-05,0
Kepler-825 b,2.96,0.115586216,1.53,0.305,1.296739036,4.27E-06,0
Kepler-932 b,2.45,0.095671023,1.37,0.115,1.963946673,2.17E-06,0
Kepler-445 b,3.12,0.121834119,1.58,0.23,0.643880755,2.37E-06,0
Kepler-1483 b,2.92,0.11402424,1.52,0.48,0.313839838,3.48E-06,0
Kepler-1149 b,2.67,0.10426189,1.44,0.215,2.548585649,1.03E-05,0
Kepler-402 e,2.73,0.106604854,1.46,0.29,0.331846047,1.74E-06,0
Kepler-923 b,2.48,0.096842505,1.38,0.24,1.62148898,8.27E-06,0
Kepler-1557 b,2.96,0.115586216,1.53,0.355,1.85375999,1.07E-05,0
Kepler-389 c,2.73,0.106604854,1.46,0.75,0.257750267,5.42E-06,0
Kepler-377 b,2.51,0.098013987,1.39,0.27,1.160030086,2.38E-05,0
Kepler-55 e,3.02,0.117929179,1.55,0.23,2.709136305,1.23E-05,0
Kepler-1622 b,2.76,0.107776336,1.47,0.475,0.427079906,3.99E-06,0
Kepler-1383 b,2.57,0.100356951,1.41,0.46,0.77730931,8.67E-06,0
K2-200 b,2.43,0.094890035,1.364,0.124,4.880676961,0.000315116,0
Kepler-1205 b,2.57,0.100356951,1.41,0.095,2.642719308,3.92E-06,0
Kepler-1471 b,2.57,0.100356951,1.41,0.17,0.296342988,1.63E-06,0
Kepler-147 b,2.96,0.115586216,1.53,0.31,2.5,1.5,0
Kepler-1586 b,2.92,0.11402424,1.52,0.495,0.80811584,7.07E-06,0
Kepler-1246 b,2.42,0.094499541,1.36,0.21,1.378196044,1.08E-05,0
HD 215152 d,2.801,0.866,1.48,0.057793108,1.042128445,0.000564467,0
K2-219 c,2.66,0.103871396,1.438,0.203,1.62950326,0.000348498,0
Kepler-1528 b,2.73,0.106604854,1.46,0.19,3.722646414,1.60E-05,0
Kepler-334 c,2.63,0.102699915,1.43,0.26,0.140391089,6.05E-07,0
Kepler-758 e,2.96,0.115586216,1.53,0.285,1.557093886,1.97E-05,0
Kepler-320 c,2.45,0.095671023,1.37,0.64,0.456844197,7.16E-06,0
Kepler-1271 b,2.79,0.108947818,1.48,0.195,5.927737862,2.27E-05,0
Kepler-1289 b,2.92,0.11402424,1.52,0.365,0.378663477,2.41E-06,0
Kepler-915 b,2.86,0.111681276,1.5,0.26,1.738928629,5.35E-06,0
Kepler-1439 b,2.73,0.106604854,1.46,0.175,0.56910289,3.37E-06,0
Kepler-200 c,3.15,0.123005601,1.59,0.29,0.78984587,4.10E-06,0
Kepler-1228 b,2.99,0.116757698,1.54,0.125,17.70470311,1.26E-05,0
K2-201 b,2.54,0.099185469,1.4,0.106,0.544796214,2.24E-05,0
Kepler-195 c,3.02,0.117929179,1.55,0.57,0.031081745,3.38E-07,0
Kepler-914 b,2.48,0.096842505,1.38,0.145,7.732301499,2.09E-05,0
Kepler-1315 b,2.48,0.096842505,1.38,0.07,5.228562338,5.08E-06,0
Kepler-1300 b,2.45,0.095671023,1.37,0.305,0.037918512,4.18E-07,0
Kepler-1346 b,3.12,0.121834119,1.58,0.385,6.538552033,2.23E-05,0
Kepler-208 e,2.79,0.108947818,1.48,0.28,0.209210952,2.26E-06,0
Kepler-386 b,2.51,0.098013987,1.39,0.82,1.32078717,2.34E-05,0
Kepler-1493 b,2.57,0.100356951,1.41,0.25,0.819504413,5.86E-06,0
Kepler-311 c,2.63,0.102699915,1.43,0.28,0.761048771,7.90E-06,0
Kepler-400 c,2.83,0.110509794,1.49,0.28,1.138255368,6.56E-06,0
Kepler-364 b,3.02,0.117929179,1.55,0.37,0.673542062,1.43E-05,0
Kepler-386 c,3.12,0.121834119,1.58,0.89,2.5,1.5,0
Kepler-292 c,2.76,0.107776336,1.47,0.15,6.780938462,6.02E-05,0
Kepler-132 d,3.02,0.117929179,1.55,0.3,0.206290613,7.67E-07,0
K2-83 c,2.8,0.109338312,1.483,0.099,1.801439635,0.000145951,0
K2-213 b,2.9,0.113243252,1.514,0.254,1.229594127,0.000269937,0
Kepler-1290 b,2.6,0.101528433,1.42,0.17,1.731814202,1.55E-05,0
Kepler-111 b,3.12,0.121834119,1.58,0.2,1.404925569,2.52E-06,0
Kepler-1216 b,2.51,0.098013987,1.39,0.165,0.764656961,3.49E-06,0
Kepler-362 c,2.7,0.105433372,1.45,0.61,0.115415225,9.08E-07,0
Kepler-1145 b,2.54,0.099185469,1.4,0.11,9.536262064,2.67E-05,0
K2-228 b,2.49,0.097232999,1.384,0.094,1.471544156,7.20E-05,0
Kepler-154 f,2.86,0.111681276,1.5,0.275,0.27203054,2.14E-06,0
Kepler-770 d,2.54,0.099185469,1.4,0.15,2.388797814,9.69E-06,0
Kepler-1256 b,2.83,0.110509794,1.49,0.33,0.334530118,2.91E-06,0
Kepler-886 b,2.92,0.11402424,1.52,0.305,1.988760338,6.86E-06,0
Kepler-1431 b,2.76,0.107776336,1.47,0.29,1.064003995,8.57E-06,0
Kepler-399 c,2.63,0.102699915,1.43,0.77,0.219901163,1.41E-06,0
Kepler-123 c,2.79,0.108947818,1.48,0.3,0.999273874,1.75E-05,0
Kepler-403 d,2.6,0.101528433,1.42,0.245,1.961201555,1.19E-05,0
Kepler-334 d,2.57,0.100356951,1.41,0.26,0.5423271,3.07E-06,0
Kepler-1366 b,2.63,0.102699915,1.43,0.1,11.59513379,3.66E-05,0
Kepler-224 b,2.51,0.098013987,1.39,0.09,0.690910782,3.09E-06,0
Kepler-1614 b,2.83,0.110509794,1.49,0.135,0.793825776,6.08E-06,0
Kepler-1303 b,2.6,0.101528433,1.42,0.245,0.521951065,2.84E-06,0
Kepler-1355 b,2.73,0.106604854,1.46,0.11,2.5,1.5,0
Kepler-1220 b,2.92,0.11402424,1.52,0.26,0.173636593,9.79E-07,0
Kepler-1501 b,3.05,0.119100661,1.56,0.465,0.51021614,3.93E-06,0
GJ 3998 b,2.47,0.27,1.38,0.053888168,5.493478038,0.001637821,0
Kepler-186 d,2.54,0.099185469,1.4,0.16,0.198588833,3.65E-07,0
Kepler-1437 b,2.45,0.095671023,1.37,0.15,1.220818859,1.31E-05,0
K2-170 b,2.6,0.101528433,1.418,0.1665,1.442550337,0.000336146,0
K2-203 b,2.45,0.095671023,1.371,0.198,0.781481699,0.000105553,0
Kepler-784 b,3.12,0.121834119,1.58,0.33,0.306882116,6.61E-06,0
Kepler-1433 b,3.05,0.119100661,1.56,0.315,7.638504589,5.33E-05,0
Kepler-205 b,2.89,0.112852758,1.51,0.14,1.500893698,1.09E-06,0
Kepler-295 d,2.42,0.094499541,1.36,0.72,2.5,1.5,0
Kepler-1120 b,2.48,0.096842505,1.38,0.08,11.48990174,2.91E-05,0
Kepler-828 b,2.89,0.112852758,1.51,0.095,5.193258731,4.02E-06,0
K2-133 c,2.79,0.108947818,1.48,0.09,0.116646222,4.79E-06,0
Kepler-1063 b,2.83,0.110509794,1.49,0.295,0.345759848,7.05E-07,0
Kepler-1582 b,2.83,0.110509794,1.49,0.155,2.910127991,5.32E-05,0
K2-190 b,2.41,0.094109047,1.357,0.139,0.479081607,2.99E-05,0
Kepler-504 b,3.15,0.123005601,1.59,0.2,1.057552281,5.53E-07,0
Kepler-1005 b,2.86,0.111681276,1.5,0.18,1.469568022,2.99E-06,0
Kepler-1165 b,3.02,0.117929179,1.55,0.345,0.685551529,4.27E-06,0
Kepler-1142 b,2.76,0.107776336,1.47,0.305,0.517874912,3.93E-06,0
Kepler-808 b,2.73,0.106604854,1.46,0.07,28.99063354,1.61E-05,0
Kepler-218 b,2.79,0.108947818,1.48,0.12,0.174433149,5.30E-07,0
Kepler-901 b,2.45,0.095671023,1.37,0.065,1.028953169,1.03E-06,0
Kepler-114 c,2.8,0.6,1.6,0.18,0.437444894,0.017181283,0
Kepler-80 e,4.13,0.88,1.6,0.075,1.731149715,7.27E-05,0
Kepler-1231 b,2.6,0.101528433,1.42,0.21,0.445884392,2.81E-06,0
Kepler-1245 b,2.67,0.10426189,1.44,0.11,2.392519348,1.06E-05,0
Kepler-1523 b,3.12,0.121834119,1.58,0.21,4.638177863,5.73E-06,0
Kepler-1108 b,2.73,0.106604854,1.46,0.125,0.208146077,6.14E-07,0
Kepler-1274 b,2.6,0.101528433,1.42,0.1,0.645998714,6.21E-06,0
Kepler-605 b,2.67,0.10426189,1.44,0.13,2.063380664,3.12E-06,0
Kepler-1226 b,2.7,0.105433372,1.45,0.205,0.195666812,1.34E-06,0
K2-233 b,2.54,0.099185469,1.398,0.061,7.008156282,0.000397632,0
K2-226 b,2.82,0.1101193,1.487,0.146,0.754319793,8.49E-05,0
Kepler-141 c,2.57,0.100356951,1.41,0.09,0.466593901,1.33E-06,0
Kepler-1065 c,3.19,0.124567577,1.6,0.205,2.957677941,2.11E-05,0
Kepler-190 c,2.73,0.106604854,1.46,0.1,0.629894316,1.51E-06,0
Kepler-1492 b,2.83,0.110509794,1.49,0.22,0.224623952,8.66E-07,0
Kepler-1380 b,2.63,0.102699915,1.43,0.185,1.624753682,1.64E-05,0
Kepler-876 b,2.63,0.102699915,1.43,0.095,2.004289007,9.61E-06,0
Kepler-154 e,2.86,0.111681276,1.5,0.13,1.308082372,4.07E-06,0
Kepler-1050 c,2.79,0.108947818,1.48,0.255,0.186135915,9.87E-07,0
Kepler-1218 b,2.67,0.10426189,1.44,0.145,0.92174942,9.40E-06,0
Kepler-1245 c,2.67,0.10426189,1.44,0.105,7.805709386,2.23E-05,0
Kepler-1209 b,2.89,0.112852758,1.51,0.25,0.115754316,5.70E-07,0
Kepler-353 c,2.48,0.096842505,1.38,0.07,3.016221106,1.40E-05,0
Kepler-1301 b,2.54,0.099185469,1.4,0.105,0.926068149,4.42E-06,0
Kepler-1485 b,2.76,0.107776336,1.47,0.19,0.456039075,2.94E-06,0
Kepler-1257 b,2.92,0.11402424,1.52,0.15,7.463804594,2.76E-05,0
Kepler-137 b,2.76,0.107776336,1.47,0.11,0.316286315,6.75E-07,0
Kepler-1302 b,2.63,0.102699915,1.43,0.12,0.954425923,6.33E-06,0
Kepler-157 d,2.73,0.106604854,1.46,0.13,1.258121309,4.28E-06,0
Kepler-1564 b,2.76,0.107776336,1.47,0.16,0.389150322,4.14E-06,0
K2-162 b,2.81,0.109728806,1.486,0.1435,1.908915316,0.000281864,0
Kepler-1426 b,3.05,0.119100661,1.56,0.25,0.663407191,9.03E-06,0
Kepler-1335 b,2.7,0.105433372,1.45,0.095,2.275888712,9.83E-06,0
Kepler-936 b,2.7,0.105433372,1.45,0.15,0.593112915,2.55E-06,0
Kepler-975 b,2.79,0.108947818,1.48,0.075,5.36015562,6.42E-06,0
Kepler-773 b,2.63,0.102699915,1.43,0.08,0.52555078,1.00E-06,0
Kepler-176 e,2.7,0.105433372,1.45,0.135,0.073273569,9.21E-07,0
Kepler-1491 b,2.89,0.112852758,1.51,0.245,3.084845439,4.12E-05,0
Kepler-1088 b,2.6,0.101528433,1.42,0.105,0.717162941,2.77E-06,0
Kepler-1198 b,2.76,0.107776336,1.47,0.14,3.009521641,1.27E-05,0
Kepler-760 c,2.79,0.108947818,1.48,0.105,3.115059334,8.31E-06,0
Kepler-909 b,2.76,0.107776336,1.47,0.135,0.177061045,5.67E-07,0
Kepler-1332 b,2.45,0.095671023,1.37,0.07,1.173339763,3.70E-06,0
Kepler-32 e,2.86,0.111681276,1.5,0.1,4.100334365,0.000424758,0
Kepler-1466 b,3.02,0.117929179,1.55,0.22,0.092894814,6.43E-07,0
Kepler-1050 b,3.19,0.124567577,1.6,0.33,2.027150157,9.12E-06,0
Kepler-1174 b,3.15,0.123005601,1.59,0.235,2.231310475,8.62E-06,0
Kepler-309 b,3.05,0.119100661,1.56,0.14,1.163513837,5.50E-06,0
Kepler-1007 b,2.67,0.10426189,1.44,0.07,1.142459139,2.05E-06,0
Kepler-1191 b,2.89,0.112852758,1.51,0.12,0.925868673,3.16E-06,0
Kepler-823 b,3.09,0.120662637,1.57,0.225,1.343576412,5.63E-06,0
Kepler-1459 b,2.42,0.094499541,1.36,0.09,0.06629786,1.01E-06,0
Kepler-1633 b,3.12,0.121834119,1.58,0.45,0.337273179,1.06E-05,0
Kepler-1131 b,3.15,0.123005601,1.59,0.255,52.77099302,0.000189133,0
Kepler-629 b,2.48,0.096842505,1.38,0.05,0.487985469,7.95E-07,0
Kepler-138 b,0.066,0.048,0.522,0.032,0.701916626,3.40E-05,0
Kepler-1006 b,2.99,0.116757698,1.54,0.205,0.521847278,1.76E-06,0
Kepler-905 b,2.57,0.100356951,1.41,0.05,3.888000384,6.40E-06,0
Kepler-1287 b,2.99,0.116757698,1.54,0.175,0.442869123,2.50E-06,0
K2-176 b,2.83,0.110509794,1.491,0.108,2.153483526,0.000266486,0
Kepler-369 c,2.57,0.100356951,1.41,0.06,0.3583642,2.00E-06,0
Kepler-777 b,2.76,0.107776336,1.47,0.08,2.596236889,9.15E-06,0
